1 100
1264
100 40 120
300 1 11 0
200 2 7 0
200 1 11 0
300 2 7 0
200 1 24 0
200 2 30 0
200 1 17 0
200 2 6 0
400 0 9 9
200 1 27 6
200 2 23 0
200 1 9 0
200 2 4 6
200 1 23 0
200 2 27 6
200 1 23 0
200 2 35 0
200 1 14 6
200 2 32 6
200 1 30 0
300 2 6 0
200 1 29 0
200 2 25 5
200 1 32 6
400 2 10 4
200 2 14 0
300 1 1 0
200 2 7 0
200 1 18 0
200 2 35 0
200 1 15 0
200 2 25 0
200 1 31 0
200 2 15 0
200 1 10 0
200 2 1 0
200 1 24 0
200 2 15 0
200 1 22 0
200 2 10 0
200 1 29 5
200 2 21 0
200 1 9 0
300 2 31 0
200 1 35 0
200 2 11 0
200 1 0 0
200 2 2 0
200 1 29 0
200 2 27 0
200 1 7 0
200 2 28 0
200 1 2 0
300 2 19 9
200 1 14 0
200 2 27 0
200 1 3 0
200 2 15 0
300 1 4 6
200 2 15 0
300 1 13 0
200 2 31 0
200 1 11 7
200 2 13 6
200 1 6 0
300 2 2 0
200 1 19 7
200 2 36 0
200 1 1 0
200 2 6 0
200 1 15 0
300 2 32 0
200 1 13 0
300 2 33 0
200 1 9 0
200 2 28 0
200 1 0 0
300 2 15 0
300 1 10 0
200 2 18 6
200 1 21 0
200 2 4 5
300 1 0 0
200 2 18 0
200 1 32 0
200 2 10 0
200 1 12 0
400 2 52 59
200 2 33 0
200 1 25 0
200 2 7 11
200 1 23 0
200 2 24 0
200 1 4 0
200 2 24 0
200 1 16 0
200 2 15 0
200 1 9 0
200 2 24 0
200 1 14 0
200 2 13 0
200 1 33 0
300 2 18 0
200 1 22 0
300 2 20 0
200 1 10 6
400 2 59 70
400 2 59 70
200 2 7 0
300 1 31 14
300 2 15 0
300 1 21 0
300 2 22 0
200 1 2 0
200 2 9 5
200 1 37 0
200 2 35 0
200 1 22 0
200 2 20 0
200 1 22 5
200 2 8 5
200 1 0 0
200 2 34 5
200 1 7 0
200 2 7 0
200 1 21 0
400 2 67 55
200 2 18 6
200 1 8 0
200 2 19 0
200 1 11 0
200 2 5 0
200 1 30 0
300 2 30 7
200 1 24 0
400 2 63 57
200 2 10 0
200 1 18 6
200 2 17 6
400 2 60 57
200 1 28 0
200 2 26 0
200 1 36 0
200 2 28 0
200 1 27 0
200 2 30 0
200 1 18 0
200 2 27 9
400 2 72 60
200 1 5 5
300 2 12 0
200 1 5 0
400 2 73 60
200 2 4 0
200 1 10 0
200 2 37 0
400 2 76 66
300 1 28 5
200 2 20 0
200 1 11 0
200 2 28 0
200 1 25 6
200 2 2 5
200 1 22 5
200 2 24 0
200 1 18 0
200 2 32 5
200 1 36 0
200 2 1 0
200 1 11 0
200 2 35 0
200 1 36 0
200 2 20 0
400 2 74 72
200 1 27 0
200 2 34 0
200 1 0 0
400 2 80 75
200 2 17 5
200 1 9 0
200 2 33 9
200 1 14 6
200 2 24 9
200 1 17 0
200 2 19 0
200 1 30 5
200 2 15 0
300 1 22 0
200 2 4 0
300 1 2 20
200 2 11 0
200 1 27 0
200 2 36 0
200 1 7 5
200 2 22 0
300 1 6 30
200 2 32 0
200 1 32 0
300 2 20 0
200 1 4 5
200 2 12 0
300 1 6 0
200 2 17 0
200 1 35 0
200 2 8 5
200 1 14 5
200 2 11 5
200 1 28 0
200 2 11 0
200 1 10 0
200 2 29 0
200 1 17 5
200 2 13 9
200 1 20 0
200 2 15 0
200 1 34 0
200 2 4 0
200 1 24 0
200 2 18 0
200 1 16 6
300 2 17 14
200 1 18 0
200 2 12 5
200 1 27 0
200 2 19 0
200 1 8 0
200 2 18 0
300 1 38 0
200 2 26 0
200 1 27 5
300 2 15 0
200 1 6 0
200 2 33 0
200 1 34 10
